Название команды,Итого
Ashes of the gods,50
blood and dirt,47
Catch&Revenge,53
Culinario,41
Dream Catcher,52
Ethereal Echoes,54
Event horizon,46
Farm Tales,48
Forest,44
GFighting,42
Hadya's Ascension,34
Nightmare Asylum,41
Overpath,40
qFileCommander,52
Rabbit,55
Rings Of Wisdom: What? Where? Why?,54
Seven Deadly Sins,52
SLON,50
Space Breaker,52
Steal or Shield,52
Thanatos,55
Time's Edge,52
TrainSmart,51
Travl,46
UFO-torrent,42
Unlock English,43
UruruNote,47
Wave-Time-Mass,54
Worst of Horrors,42
Полный Провал,54
Путь мехматовца,43
Туда сюда миллионеры,32
Хамстер криминал,41
